interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-23	03:10:50	12	Int722	1	Int722	1
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-23	03:10:50	0	Int722	1	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-23	03:10:50	20	Int722	1	Int722	1
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-23	03:10:50	1	Int722	1	Int722	1
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:27:12	3	Int722	1	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:22:54	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:35:05	18	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:35:41	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:47:49	18	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:51:56	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:54:05	18	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	02:54:41	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:04:51	18	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:04:57	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:16:33	18	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:16:39	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:19:26	18	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:19:27	17	Sup720	2	Sup720	2
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:32:05	7	Sup720	2	Int722	1
85-83-38-50	3a8cdfcc42ae46d38285d837eb0abfd5	2026-03-25	03:32:06	18	Sup720	2	Sup720	2
