interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
08-07-35-57	002f4776dd664896a51bdb8eab7d598f	130	Int712	1	3	3	2	8	00.06:44:56	0
39-25-61-55	00e5ec75e29d46d7a6a1761c47dbd0fb	130	Int822	1	2	4	2	30	00.10:14:44	0
38-40-24-40	034fdf3001c34d48b32ea6cffb2d58b6	130	Int222	1	2	1	2	6	00.03:32:16	0
17-22-77-76	059e06b7edcb489e9f51b04710de07b6	130	Int621	1	2	1	2	5	00.05:06:24	0
55-43-51-24	07cb98814b64400f8fad77e2c73bb90a	120	Int112	1	1	0	2	14	00.05:54:46	0
74-90-66-68	0c1f15e194b144d88f575c8cdac59938	130	Int311	1	3	1	4	14	00.05:24:40	0
60-33-52-83	11f3abb0469b4311996623b045497873	100	Int632	1	0	0	2	2	00.01:37:56	1
65-45-54-58	14496dee892c43a29b23865097b2cde8	65	ms_sup220	1	1	0	0	0	00.02:13:47	0
86-85-30-88	14fdc56707d94a79a278e825b04fe651	130	Int631	1	3	1	2	8	00.06:43:05	0
86-21-86-39	160a5696812f460f9bae8e112b5c976b	130	Int721	1	2	1	2	13	00.03:29:48	0
81-76-43-77	196494b377694b289c69653cb5db7d23	130	ms_sup310	1	0	0	0	0	00.00:06:04	0
96-99-16-93	1cd00983ed954a5baea751b57116da1c	130	Int812	1	0	0	1	2	00.00:20:07	1
66-74-37-32	1df603a5154b4634b4e5ebbd85e5008d	130	Int422	1	2	1	2	15	00.08:22:04	0
02-64-26-76	1e12c0f8fcea4ffe9627353cce7fce31	130	Int222	1	2	1	2	8	00.05:00:56	0
62-35-96-73	1ecb0fac40304dd1ac4789e7ae2bf24b	130	Int221	1	2	1	2	7	00.04:11:56	0
16-76-08-11	1ee93a6fc00c4324a9ac66fe20520456	65	ms_sup110	1	1	0	0	6	00.05:44:45	0
61-41-55-77	20b4037a4f074a0f8ee1d30768762084	130	Int311	1	3	1	2	44	00.06:46:06	0
54-34-45-21	2b1967832a6d48b0ad40d56136730b2b	130	Int422	1	2	2	4	27	00.12:50:11	0
71-01-22-10	2bc0bd4c52cd48ad8603474f5bc06ecb	100	Int611	1	2	1	3	7	00.03:07:58	0
