interview__key	interview__id	roster	id1	id2	id3	variable	type	message__number	message
54-96-61-49	2fbeb651735849a7ac9438b7d41f0a40					gps	2	1	GPS has to be within 20m
54-96-61-49	2fbeb651735849a7ac9438b7d41f0a40						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
74-90-66-68	0c1f15e194b144d88f575c8cdac59938					gps	2	1	GPS has to be within 20m
74-90-66-68	0c1f15e194b144d88f575c8cdac59938	hm_basic	3			relat	2	8	Warning: Age difference between child and spouse is inconsistent
74-90-66-68	0c1f15e194b144d88f575c8cdac59938	hm_basic	4			relat	2	8	Warning: Age difference between child and spouse is inconsistent
74-90-66-68	0c1f15e194b144d88f575c8cdac59938						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
06-26-75-81	454d2f37654e47b7816c2323aadc0213					gps	2	1	GPS has to be within 20m
06-26-75-81	454d2f37654e47b7816c2323aadc0213						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
91-42-28-25	d43ac6ec9edb470eb9b0a291168379c4					gps	2	1	GPS has to be within 20m
91-42-28-25	d43ac6ec9edb470eb9b0a291168379c4						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
94-73-99-06	83ba393ea4604cf4a92a525c9f810028					gps	2	1	GPS has to be within 20m
94-73-99-06	83ba393ea4604cf4a92a525c9f810028						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
20-58-65-51	37e31b20d3fe4f34b6868dfe43027fcc					gps	2	1	GPS has to be within 20m
20-58-65-51	37e31b20d3fe4f34b6868dfe43027fcc						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
63-15-92-19	8279251f11ee47789cb001064bff0f86					gps	2	1	GPS has to be within 20m
63-15-92-19	8279251f11ee47789cb001064bff0f86						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
91-32-97-70	9403ec88bc9c41daaa55067bf9d6ef81					gps	2	1	GPS has to be within 20m
91-32-97-70	9403ec88bc9c41daaa55067bf9d6ef81						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
82-04-37-47	b8b62bcaf9d343c0b0e688042a81425f					gps	2	1	GPS has to be within 20m
82-04-37-47	b8b62bcaf9d343c0b0e688042a81425f						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
94-78-45-38	de76537f824c45ba8996e8846c86290a					gps	2	1	GPS has to be within 20m
94-78-45-38	de76537f824c45ba8996e8846c86290a						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
96-34-54-38	5eaaf9c9a97c4b758f671a1830e15530					gps	2	1	GPS has to be within 20m
96-34-54-38	5eaaf9c9a97c4b758f671a1830e15530						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
12-52-60-63	5b03ff3e9ae4445f9126ceb576ab421f					gps	2	1	GPS has to be within 20m
12-52-60-63	5b03ff3e9ae4445f9126ceb576ab421f						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
12-52-60-63	5b03ff3e9ae4445f9126ceb576ab421f	ict_roster	2	819201001		electronic_purchase_amount	2	1	The value entered for laptop seems unlikely. Please verify.
12-52-60-63	5b03ff3e9ae4445f9126ceb576ab421f	other_personal_item_roster	2	1213278009		amount_purchase_other_item	2	1	The 12 months value entered for %rostertitle% seems unlikely. Please verify.
85-59-48-28	eafb1e2dbda8466a86c67f25ac2e11db					gps	2	1	GPS has to be within 20m
85-59-48-28	eafb1e2dbda8466a86c67f25ac2e11db						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
68-48-66-30	8ad2d1297dec4697b420c4c23ca18137					gps	2	1	GPS has to be within 20m
68-48-66-30	8ad2d1297dec4697b420c4c23ca18137						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
35-64-78-71	1016881920394755a9111c1c66a1fb85					gps	2	1	GPS has to be within 20m
35-64-78-71	1016881920394755a9111c1c66a1fb85						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
35-64-78-71	1016881920394755a9111c1c66a1fb85	oth_income_ros	21000			amount_cashIncome	2	1	The 12 months value entered for %rostertitle% seems unlikely. Please verify.
25-55-15-20	fc7d30888cc746acb2d062cd3a273b23					gps	2	1	GPS has to be within 20m
25-55-15-20	fc7d30888cc746acb2d062cd3a273b23						3	1	Please confirm that this household did not consume any food at home!!!!!! If it is correct do make sure they eat food away from home for the last days
36-25-76-51	d63f85daf8ce4b75bcd7d340af820431					gps	2	1	GPS has to be within 20m
